File_Name,Sample,Species,Sepal_Length,Sepal_Width,Petal_Length,Petal_Width,Site,decimalLatitude,decimalLongitude,Date
A106,A117,Iris virginica,6.5,3,5.5,1.8,Site1,48.935966,-64.840984,1929-12-01
A122,A113,Iris virginica,6.8,3,5.5,2.1,Site2,48.540502,-64.766512,1930-02-13
A40,A37,Iris setosa,5.5,3.5,1.3,0.2,Site3,48.329837,-65.512333,1929-12-01
A99,A97,Iris versicolor,5.7,2.9,4.2,2.3,Site3,48.329837,-65.512333,1929-12-01
A107,A120,Iris virginica,6,2.2,5,1.5,Site1,48.935966,-64.840984,1929-12-01
A50,A16,Iris setosa,5.7,4.4,1.5,0.4,Site3,48.329837,-65.512333,1929-12-01
A90,A70,Iris versicolor,5.6,2.5,3.9,1.1,Site3,48.329837,-65.512333,1929-12-01
A5,A30,Iris setosa,4.7,3.2,1.6,0.2,Site1,48.935966,-64.840984,1929-12-01
A62,A84,Iris versicolor,6,2.7,5.1,1.6,Site1,48.935966,-64.840984,1929-12-01
A135,A103,Iris virginica,7.1,3,5.9,2.1,Site3,48.329837,-65.512333,1929-12-01
A143,A127,Iris virginica,6.2,2.8,4.8,1.8,Site3,48.329837,-65.512333,1929-12-01
A81,A92,Iris versicolor,6.1,3,4.6,1.4,Site2,48.540502,-64.766512,1930-02-13
A41,A40,Iris setosa,5.1,3.4,1.5,0.2,Site3,48.329837,-65.512333,1929-12-01
A80,A89,Iris versicolor,5.6,3,4.1,1.3,Site2,48.540502,-64.766512,1930-02-13
A82,A95,Iris versicolor,5.6,2.7,4.2,1.3,Site2,48.540502,-64.766512,1930-02-13
