"","eventID","occurrenceID","recordedBy","measurementType","measurementValue","measurementUnit"
"1","3_1929-12-01","3_1929-12-01_A55","Edgar Anderson","sepal length",6.5,"cm"
"2","3_1929-12-01","3_1929-12-01_A55","Edgar Anderson","sepal width",2.8,"cm"
"3","3_1929-12-01","3_1929-12-01_A55","Edgar Anderson","petal length",4.6,"cm"
"4","3_1929-12-01","3_1929-12-01_A55","Edgar Anderson","petal width",1.5,"cm"
"5","3_1929-12-01","3_1929-12-01_A67","Edgar Anderson","sepal length",5.6,"cm"
"6","3_1929-12-01","3_1929-12-01_A67","Edgar Anderson","sepal width",3,"cm"
"7","3_1929-12-01","3_1929-12-01_A67","Edgar Anderson","petal length",4.5,"cm"
"8","3_1929-12-01","3_1929-12-01_A67","Edgar Anderson","petal width",1.5,"cm"
"9","3_1929-12-01","3_1929-12-01_A76","Edgar Anderson","sepal length",6.6,"cm"
"10","3_1929-12-01","3_1929-12-01_A76","Edgar Anderson","sepal width",3,"cm"
"11","3_1929-12-01","3_1929-12-01_A76","Edgar Anderson","petal length",4.4,"cm"
"12","3_1929-12-01","3_1929-12-01_A76","Edgar Anderson","petal width",1.4,"cm"
"13","3_1929-12-01","3_1929-12-01_A79","Edgar Anderson","sepal length",6,"cm"
"14","3_1929-12-01","3_1929-12-01_A79","Edgar Anderson","sepal width",2.9,"cm"
"15","3_1929-12-01","3_1929-12-01_A79","Edgar Anderson","petal length",4.5,"cm"
"16","3_1929-12-01","3_1929-12-01_A79","Edgar Anderson","petal width",1.5,"cm"
"17","3_1929-12-01","3_1929-12-01_A91","Edgar Anderson","sepal length",5.5,"cm"
"18","3_1929-12-01","3_1929-12-01_A91","Edgar Anderson","sepal width",2.6,"cm"
"19","3_1929-12-01","3_1929-12-01_A91","Edgar Anderson","petal length",4.4,"cm"
"20","3_1929-12-01","3_1929-12-01_A91","Edgar Anderson","petal width",1.2,"cm"
"21","3_1929-12-01","3_1929-12-01_A106","Edgar Anderson","sepal length",7.6,"cm"
"22","3_1929-12-01","3_1929-12-01_A106","Edgar Anderson","sepal width",3,"cm"
"23","3_1929-12-01","3_1929-12-01_A106","Edgar Anderson","petal length",6.6,"cm"
"24","3_1929-12-01","3_1929-12-01_A106","Edgar Anderson","petal width",2.1,"cm"
"25","3_1929-12-01","3_1929-12-01_A121","Edgar Anderson","sepal length",6.9,"cm"
"26","3_1929-12-01","3_1929-12-01_A121","Edgar Anderson","sepal width",3.2,"cm"
"27","3_1929-12-01","3_1929-12-01_A121","Edgar Anderson","petal length",5.7,"cm"
"28","3_1929-12-01","3_1929-12-01_A121","Edgar Anderson","petal width",2.3,"cm"
"29","3_1929-12-01","3_1929-12-01_A130","Edgar Anderson","sepal length",7.2,"cm"
"30","3_1929-12-01","3_1929-12-01_A130","Edgar Anderson","sepal width",3,"cm"
"31","3_1929-12-01","3_1929-12-01_A130","Edgar Anderson","petal length",5.8,"cm"
"32","3_1929-12-01","3_1929-12-01_A130","Edgar Anderson","petal width",1.6,"cm"
"33","3_1929-12-01","3_1929-12-01_A43","Edgar Anderson","sepal length",4.4,"cm"
"34","3_1929-12-01","3_1929-12-01_A43","Edgar Anderson","sepal width",3.2,"cm"
"35","3_1929-12-01","3_1929-12-01_A43","Edgar Anderson","petal length",1.3,"cm"
"36","3_1929-12-01","3_1929-12-01_A43","Edgar Anderson","petal width",0.2,"cm"
"37","3_1929-12-01","3_1929-12-01_A124","Edgar Anderson","sepal length",6.3,"cm"
"38","3_1929-12-01","3_1929-12-01_A124","Edgar Anderson","sepal width",2.7,"cm"
