"","eventID","occurrenceID","scientificName","acceptedNameUsageID","recordedBy","taxonRank","organismQuantityType","basisOfRecord"
"1","3_1929-12-01","3_1929-12-01_A55","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"2","3_1929-12-01","3_1929-12-01_A67","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"3","3_1929-12-01","3_1929-12-01_A76","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"4","3_1929-12-01","3_1929-12-01_A79","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"5","3_1929-12-01","3_1929-12-01_A91","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"6","3_1929-12-01","3_1929-12-01_A106","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"7","3_1929-12-01","3_1929-12-01_A121","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"8","3_1929-12-01","3_1929-12-01_A130","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"9","3_1929-12-01","3_1929-12-01_A43","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"10","3_1929-12-01","3_1929-12-01_A124","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"11","3_1929-12-01","3_1929-12-01_A25","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"12","3_1929-12-01","3_1929-12-01_A34","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"13","3_1929-12-01","3_1929-12-01_A49","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"14","3_1929-12-01","3_1929-12-01_A4","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"15","3_1929-12-01","3_1929-12-01_A148","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"16","3_1929-12-01","3_1929-12-01_A31","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"17","3_1929-12-01","3_1929-12-01_A7","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"18","3_1929-12-01","3_1929-12-01_A28","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"19","3_1929-12-01","3_1929-12-01_A73","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"20","3_1929-12-01","3_1929-12-01_A88","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"21","3_1929-12-01","3_1929-12-01_A58","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"22","3_1929-12-01","3_1929-12-01_A118","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"23","3_1929-12-01","3_1929-12-01_A46","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"24","3_1929-12-01","3_1929-12-01_A139","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"25","3_1929-12-01","3_1929-12-01_A142","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"26","3_1929-12-01","3_1929-12-01_A37","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"27","3_1929-12-01","3_1929-12-01_A97","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"28","3_1929-12-01","3_1929-12-01_A16","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"29","3_1929-12-01","3_1929-12-01_A70","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"30","3_1929-12-01","3_1929-12-01_A103","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"31","3_1929-12-01","3_1929-12-01_A127","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"32","3_1929-12-01","3_1929-12-01_A40","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"33","3_1929-12-01","3_1929-12-01_A10","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"34","3_1929-12-01","3_1929-12-01_A134","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"35","3_1929-12-01","3_1929-12-01_A61","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"36","3_1929-12-01","3_1929-12-01_A100","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"37","3_1929-12-01","3_1929-12-01_A109","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"38","3_1929-12-01","3_1929-12-01_A145","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"39","3_1929-12-01","3_1929-12-01_A1","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"40","3_1929-12-01","3_1929-12-01_A136","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"41","3_1929-12-01","3_1929-12-01_A82","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"42","3_1929-12-01","3_1929-12-01_A22","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"43","3_1929-12-01","3_1929-12-01_A52","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"44","3_1929-12-01","3_1929-12-01_A64","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"45","3_1929-12-01","3_1929-12-01_A112","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"46","2_1930-02-13","2_1930-02-13_A131","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"47","2_1930-02-13","2_1930-02-13_A77","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"48","2_1930-02-13","2_1930-02-13_A2","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"49","2_1930-02-13","2_1930-02-13_A32","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"50","2_1930-02-13","2_1930-02-13_A74","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"51","2_1930-02-13","2_1930-02-13_A137","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"52","2_1930-02-13","2_1930-02-13_A110","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"53","2_1930-02-13","2_1930-02-13_A39","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"54","2_1930-02-13","2_1930-02-13_A71","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"55","2_1930-02-13","2_1930-02-13_A104","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"56","2_1930-02-13","2_1930-02-13_A128","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"57","2_1930-02-13","2_1930-02-13_A143","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"58","2_1930-02-13","2_1930-02-13_A8","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"59","2_1930-02-13","2_1930-02-13_A50","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"60","2_1930-02-13","2_1930-02-13_A65","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"61","2_1930-02-13","2_1930-02-13_A83","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"62","2_1930-02-13","2_1930-02-13_A101","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"63","2_1930-02-13","2_1930-02-13_A119","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"64","2_1930-02-13","2_1930-02-13_A14","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"65","2_1930-02-13","2_1930-02-13_A107","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"66","2_1930-02-13","2_1930-02-13_A35","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"67","2_1930-02-13","2_1930-02-13_A146","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"68","2_1930-02-13","2_1930-02-13_A113","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"69","2_1930-02-13","2_1930-02-13_A92","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"70","2_1930-02-13","2_1930-02-13_A89","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"71","2_1930-02-13","2_1930-02-13_A95","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"72","2_1930-02-13","2_1930-02-13_A20","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"73","2_1930-02-13","2_1930-02-13_A59","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"74","2_1930-02-13","2_1930-02-13_A68","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"75","2_1930-02-13","2_1930-02-13_A86","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"76","2_1930-02-13","2_1930-02-13_A98","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"77","2_1930-02-13","2_1930-02-13_A134","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"78","2_1930-02-13","2_1930-02-13_A5","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"79","2_1930-02-13","2_1930-02-13_A26","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"80","2_1930-02-13","2_1930-02-13_A38","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"81","2_1930-02-13","2_1930-02-13_A41","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
